metric,paper_target,ours
1000w H0 (train),82.0,81.00404560500183
1000w H120 (train),98.0,97.95880838543583
Gen pass0 (full),77.0,78.8680851648163
Gen pass1 (full),85.0,86.60803174799344
Gen pass5 (full),90.0,89.26994720110953
1000w w7 H80 (train),95.0,97.71974990805444
1000w w11 H80 (train),97.5,98.19786686281721
2-layer 1000w (train),97.0,97.92203015814638
2-layer Gen pass0 (full),80.0,78.27967620342335
2-layer Gen pass1 (full),87.0,84.81671438477963
2-layer Gen pass11 (full),91.0,88.79207947983824
