pretrain_type,ft_epochs,ft_lr,val_phoneme_best_guess,val_perfect_match_all
margin,5,0.001,0.8162162162162162,0.42162162162162165
margin,5,0.003,0.8,0.24684684684684685
margin,10,0.001,0.809009009009009,0.3117117117117117
margin,10,0.003,0.8054054054054054,0.23063063063063063
margin,20,0.001,0.8036036036036036,0.25405405405405407
margin,20,0.003,0.790990990990991,0.2594594594594595
no_margin,5,0.001,0.8054054054054054,0.47387387387387386
no_margin,5,0.003,0.8018018018018018,0.34234234234234234
no_margin,10,0.001,0.809009009009009,0.43963963963963965
no_margin,10,0.003,0.8054054054054054,0.2828828828828829
no_margin,20,0.001,0.8054054054054054,0.3387387387387387
no_margin,20,0.003,0.7855855855855856,0.25225225225225223
