mse_weight,tau,learning_rate,val_phoneme_best_guess,val_perfect_match_all
0.1,0.05,0.003,0.8054054054054054,0.0
0.1,0.05,0.01,0.781981981981982,0.12072072072072072
0.1,0.1,0.003,0.790990990990991,0.005405405405405406
0.1,0.1,0.01,0.7783783783783784,0.1945945945945946
0.3,0.05,0.003,0.8126126126126126,0.0
0.3,0.05,0.01,0.7783783783783784,0.1891891891891892
0.3,0.1,0.003,0.7981981981981981,0.03063063063063063
0.3,0.1,0.01,0.7801801801801802,0.25405405405405407
1.0,0.05,0.003,0.8072072072072072,0.036036036036036036
1.0,0.05,0.01,0.781981981981982,0.31351351351351353
1.0,0.1,0.003,0.7873873873873873,0.13513513513513514
1.0,0.1,0.01,0.781981981981982,0.3783783783783784
3.0,0.05,0.003,0.8054054054054054,0.12612612612612611
3.0,0.05,0.01,0.7945945945945946,0.390990990990991
3.0,0.1,0.003,0.7927927927927928,0.22522522522522523
3.0,0.1,0.01,0.7783783783783784,0.4486486486486487
