architecture,dictionary_pass,n_seeds,full_phoneme_best_guess_mean,full_phoneme_best_guess_min,full_phoneme_best_guess_max,full_phoneme_best_guess_std
one_layer_h120,0.0,3.0,0.7882025261991893,0.7869643727642862,0.7889623541851188,0.000883017125485115
one_layer_h120,1.0,3.0,0.8672177708203167,0.8618577794255975,0.8737152155554182,0.004907140917027925
one_layer_h120,2.0,3.0,0.8816476366374407,0.8773747485358435,0.8844191778752738,0.0030655644378110307
one_layer_h120,3.0,3.0,0.8880947313252818,0.883705122659581,0.8928230584907344,0.0037300791878826767
one_layer_h120,4.0,3.0,0.8919327781096303,0.8882778224062288,0.8964894573866953,0.0034124835838999887
one_layer_h120,5.0,3.0,0.8948141739960315,0.8926994720110953,0.89770472443648,0.0021157494463972335
two_layer_80_80,0.0,3.0,0.7791212085842254,0.7746057248003735,0.7827967620342334,0.0033963102494622135
two_layer_80_80,1.0,3.0,0.8495998315562056,0.8461828942580348,0.8544494565627854,0.003523583274353033
two_layer_80_80,2.0,3.0,0.8642356748393948,0.8548202160017028,0.8695476048253654,0.006675987176366664
two_layer_80_80,3.0,3.0,0.8692226181566848,0.8623109298509409,0.8746009186594986,0.005133187109015804
two_layer_80_80,4.0,3.0,0.8750563577233539,0.8694377501767974,0.8811304043337659,0.0047843570703061285
two_layer_80_80,5.0,3.0,0.8811098065871593,0.8790706296731138,0.8849478533715078,0.0027156815237865737
two_layer_80_80,6.0,3.0,0.8827210080994917,0.8753493034528689,0.8880306494469505,0.005378550786393546
two_layer_80_80,7.0,3.0,0.8767110433674111,0.8715181225840559,0.8819680460290977,0.004266404017995833
two_layer_80_80,8.0,3.0,0.8825104533564029,0.880780242641455,0.8837669158994006,0.0012644846869380487
two_layer_80_80,9.0,3.0,0.8815995752286921,0.8794345231964956,0.8830734584303144,0.0015639156356722144
two_layer_80_80,10.0,3.0,0.8846411758109219,0.8770245868435327,0.8887172410005012,0.0053901775959947495
two_layer_80_80,11.0,3.0,0.8875752103830953,0.8837875136460072,0.8910173227048961,0.002961655640354465
